, -0.9003605607701344
wari,-4.373371735608579
truffaut,1.4182769844532215
sencillament,2.144248986380133
topnotch,1.2046098643560665
semicoher,-1.1072194192765161
'stoke,1.800073110211317
largeformat,0.4363990644323626
arch,2.490044574746478
duct,-4.305936629882482
exhaustingli,-0.8845525752758991
garcía,1.855527927185534
sunni,2.2959759064379663
email,-6.366993491908231
'artístico',-1.156898223989924
insepar,0.5343705859948258
sepiatint,-1.9900124949821754
bullock',-1.4647107976954763
salma,1.9695573535049034
cruelli,-0.11140709828373155
preshoot,-1.9761458800962444
poo,-3.8518216071264706
[roman,1.7049913646464903
ambition&#,-2.0704153270011694
europ,0.7395799206519974
duración,2.1446263026282413
second,2.5045057856821287
boorish,-2.4451801201368824
family',6.778532692484046
dystopia,0.9371634484095307
postcard,-7.915752654910348
romanc,-3.379903716985847
tenaci,1.0984770060050706
unreliev,2.8901403948088884
shadowi,0.7455327562322638
borrow,1.7111004560115497
grimi,3.6939532430686977
abridg,-2.162922876141882
see',0.12935271084960015
howlingli,2.1781159125618617
cash,2.053925610862782
sexaswar,-2.96607281637503
delv,2.786695749812704
back,-0.41970563188607696
teenexploit,-1.4044377442338265
siev,1.8355413502119926
tighter,-0.382716271300776
racism,2.7831349900435547
fai,-2.4369068892301162
soldier,-0.013855948902067388
ballsi,-0.37792507975868994
outnumb,-0.2677145290984192
perplex,-7.679359801751848
spaghetti,1.08025919188932
nolan,1.5312884024825135
undead,1.472047678721158
languidli,0.737912717943346
criticproof,-0.7142450909513773
methodolog,-2.5515250369681177
minkoff,2.150768075267935
sweetheart,-0.4593470051772948
omnisci,0.2218435762249577
finch',1.4538623425867485
uppercrust,-2.23810168225461
coy,0.5695131645689763
xtc,-2.0116425850216215
showstoppingli,0.6272597669312536
mettl,1.6236183886771263
galan,-1.916312888791621
sheerli,0.27515288845062613
western,10.823306502673983
martin',0.8198778139472024
stallone',-4.97267950290366
hogan',1.533781072151641
sa,3.325566166360617
groantoguffaw,4.354139086945039
week',-5.34253271974889
pseudohip,-0.44327839667269486
familia,0.8869054223244761
georgian,-3.0641021227117693
spinoff,-5.482998236772622
xiaoshuai,0.5003520889064674
vacuou,-1.812410349494681
noel,0.32039627737252346
prospect,-2.400964652270778
leap,4.901784083519596
shield,2.0848213219131364
drung,-1.9327078631194563
eighti,0.05948344203903869
loiter,-1.3664442513293351
uselessli,-1.420325086844079
incorpor,1.3712338176019327
larki,3.6485992888829375
unlock,-1.222362860615823
gullibl,0.2335064662341468
friggin',-4.336414854053595
hjelj,0.9557019873113495
[solondz's],-2.2691975662581636
rehash,-9.69468109697252
surveil,-0.13665511182069087
monster,-0.8734508840104936
sla,-1.4932468771111995
hotblood,1.9715765315814966
kendal,-0.6031775046406292
higher,10.920105727353615
bear,-5.336256218023248
cahil,0.41616197840935193
'best,-5.657380643432992
block,-4.07185154151764
hopkins/rock,1.5056363639668962
despis,-1.9408038043267766
meaningless,-1.8686123525574163
majid,2.975798201297798
[b]ut,-0.6309563347755025
[taylor],-7.101998437354007
teleprompt,-0.28081150487999296
