, -0.4237306189839629
wari,-2.002024672780518
truffaut,0.36810344342297596
sencillament,0.6268512594841135
topnotch,0.37880494015743077
semicoher,-0.5928263535230357
'stoke,0.5090562617744868
largeformat,0.07934290323651974
arch,0.9290736554963538
duct,-1.8229040910640808
exhaustingli,-0.5347193741678006
garcía,0.5056492776048293
sunni,1.0695000989186567
email,-2.275008286421933
'artístico',-0.31397427646989945
insepar,0.10151966212964769
sepiatint,-0.7082558527879099
bullock',-0.42651986987254986
salma,0.9664731827866067
cruelli,0.02377812634439756
preshoot,-0.753950843968573
poo,-1.875669931968574
[roman,0.516798819653754
ambition&#,-0.8691704946248968
europ,0.3458210563703978
duración,0.7591504899480821
second,0.7811624815192999
boorish,-0.7668809474486726
family',2.4944809151554006
dystopia,0.22981596614880354
postcard,-2.3331702109408767
romanc,-0.572547868949256
tenaci,0.33230982045034296
unreliev,0.9784608061958702
shadowi,0.08750646726096076
borrow,0.8481651339283722
grimi,1.3776820760907407
abridg,-1.181002547665335
see',0.018227291589795965
howlingli,0.9652782852073875
cash,0.44389329928089666
sexaswar,-1.252482932647526
delv,1.074850041409781
back,-0.04875690537924005
teenexploit,-0.36065984221928726
siev,0.4811125613612593
tighter,0.14302677245445536
racism,0.8896386761111322
fai,-0.9459350492195676
soldier,0.017770788299859418
ballsi,-0.07647252777573033
outnumb,-0.07879550023339277
perplex,-2.8910855357529806
spaghetti,0.1766348596602902
nolan,0.48139546925871923
undead,0.8438254012879265
languidli,0.2355804658492164
criticproof,-0.3162761192942528
methodolog,-1.0302099802478522
minkoff,0.9137586218447458
sweetheart,-0.18906237247285781
omnisci,0.0572515208636333
finch',0.5150816713238041
uppercrust,-0.9233561824230134
coy,0.14386445988197563
xtc,-0.4020527529883447
showstoppingli,0.09491747957976819
mettl,0.49188822532689264
galan,-0.3987677942546385
sheerli,0.07460472418371603
western,3.5207180461693857
martin',0.2876430021106118
stallone',-1.8942745671665508
hogan',0.4935956486397257
sa,1.268463173095274
groantoguffaw,2.01936924839404
week',-1.5735017945177172
pseudohip,-0.18808839897946444
familia,0.2509598742041337
georgian,-1.1642038893770654
spinoff,-1.9883625751143503
xiaoshuai,0.19934407299708923
vacuou,-0.6039284446770625
noel,0.1443997315748461
prospect,-0.8606607844321632
leap,1.8655019093051357
shield,0.7210224916575165
drung,-0.8059339652368689
eighti,0.006809855483491997
loiter,-0.4881337661460511
uselessli,-0.42559261074969157
incorpor,0.5423780918450751
larki,0.9990898941361318
unlock,-0.25441874234940365
gullibl,0.06636132568701039
friggin',-1.9499201967211586
hjelj,0.331505643788936
[solondz's],-0.7820451628652466
rehash,-2.8559906015394554
surveil,-0.031592588206664524
monster,-0.023668692053550527
sla,-0.4714663326861566
hotblood,0.9183788420479162
