Word 1,Word 2,Human (mean),similarity
love,sex,6.77,0.294419267419773
tiger,cat,7.35,0.8510657769126608
tiger,tiger,10.0,1.0
book,paper,7.46,0.4660468436057952
computer,keyboard,7.62,0.1510110595574276
computer,internet,7.58,0.2096751136268143
plane,car,5.77,0.40530332706711486
train,car,6.31,0.29718851615302866
telephone,communication,7.5,0.07065670800173354
television,radio,6.77,0.7592278832451274
media,radio,7.42,0.3439983530532837
drug,abuse,6.85,0.5857706465304972
bread,butter,6.19,0.9273910730669722
cucumber,potato,5.92,-1.0
doctor,nurse,7.0,0.37167810657196027
professor,doctor,6.62,0.27836202305260954
student,professor,6.81,0.5309926787420489
smart,student,4.62,0.09106168996603554
smart,stupid,5.81,0.19975135896796817
company,stock,7.08,0.355405193533044
stock,market,8.08,0.3806832828867352
stock,phone,1.62,0.1893721903479338
stock,CD,1.31,0.14767706012473156
stock,jaguar,0.92,-1.0
stock,egg,1.81,0.14038357004727098
fertility,egg,6.69,0.010422190090949383
stock,live,3.73,0.06493760686520525
stock,life,0.92,0.0030036030796029133
book,library,7.46,0.2750566611220903
bank,money,8.12,0.05520587649508123
wood,forest,7.73,0.2853210892427764
money,cash,9.15,0.2790493598990362
professor,cucumber,0.31,-1.0
king,cabbage,0.23,-1.0
king,queen,8.58,0.27317538241809497
king,rook,5.92,0.1874856192650817
bishop,rabbi,6.69,0.5240499810158682
Jerusalem,Israel,8.46,0.022758192142404834
Jerusalem,Palestinian,7.65,-0.008004025196937117
holy,sex,1.62,0.04540456295832545
fuck,sex,9.44,-0.007979888635350157
Maradona,football,8.62,0.09652207023970745
football,soccer,9.03,0.7988377956599514
football,basketball,6.81,0.8363506181395258
football,tennis,6.63,0.740153518422806
tennis,racket,7.56,-1.0
Arafat,peace,6.73,-1.0
Arafat,terror,7.65,-1.0
Arafat,Jackson,2.5,-1.0
law,lawyer,8.38,-0.006633164710867866
movie,star,7.38,0.3368431332300421
movie,popcorn,6.19,-1.0
movie,critic,6.73,0.2477398811761322
movie,theater,7.92,0.3177692498868721
physics,proton,8.12,0.01989445769823918
physics,chemistry,7.35,0.68766073688305
space,chemistry,4.88,0.08604939869806832
alcohol,chemistry,5.54,0.11495685736698294
vodka,gin,8.46,-1.0
vodka,brandy,8.13,-1.0
drink,car,3.04,0.04477518532695409
drink,ear,1.31,0.09566333934654354
drink,mouth,5.96,0.06854799859303952
drink,eat,6.87,0.21833922554727014
baby,mother,7.85,0.4064177182432797
drink,mother,2.65,0.08191777098461518
car,automobile,8.94,0.17180910985873138
gem,jewel,8.96,-1.0
journey,voyage,9.29,0.5929001012258173
boy,lad,8.83,-1.0
coast,shore,9.1,0.759268146050127
asylum,madhouse,8.87,0.0
magician,wizard,9.02,0.9328842819180734
midday,noon,9.29,-1.0
furnace,stove,8.79,0.627533992650932
food,fruit,7.52,0.27195407861849263
bird,cock,7.1,0.13371843306429707
bird,crane,7.38,0.22678136433424162
tool,implement,6.46,0.1549743924571805
brother,monk,6.27,0.0011585791190024128
crane,implement,2.69,0.09381866866604538
lad,brother,4.46,-1.0
journey,car,5.85,0.17746715335337404
monk,oracle,5.0,0.0851234707300943
cemetery,woodland,2.08,0.14340380317589838
food,rooster,4.42,-0.002311489946140615
coast,hill,4.38,0.26585551215744047
forest,graveyard,1.85,0.13553571872029266
shore,woodland,3.08,0.06627522786672631
monk,slave,0.92,0.2856468696083101
coast,forest,3.15,0.07162190443041432
lad,wizard,0.92,-1.0
chord,smile,0.54,0.6566476478715233
glass,magician,2.08,0.22817943237525062
noon,string,0.54,0.016779292012112673
rooster,voyage,0.62,0.19473372338788766
money,dollar,8.42,0.10418634794739236
money,cash,9.08,0.2790493598990362
money,currency,9.04,0.009373279933828669
money,wealth,8.27,0.2541755978400639
money,property,7.57,0.20326883174713534
money,possession,7.29,0.25477815563719713
money,bank,8.5,0.05520587649508123
money,deposit,7.73,0.050932098645472566
money,withdrawal,6.88,0.18533816980069978
money,laundering,5.65,0.46065735147885445
money,operation,3.31,0.05831193595036151
tiger,jaguar,8.0,-1.0
tiger,feline,8.0,-1.0
tiger,carnivore,7.08,0.0
tiger,mammal,6.85,0.014964537199301202
tiger,animal,7.0,0.02507780669503084
tiger,organism,4.77,0.10883514653198204
tiger,fauna,5.62,-0.0006603555785140575
tiger,zoo,5.87,0.1987758507139892
psychology,psychiatry,8.08,0.2555094409440753
psychology,anxiety,7.0,0.16733528278948562
psychology,fear,6.85,0.13172043266559014
psychology,depression,7.42,0.2345445357751172
psychology,clinic,6.58,0.10612495973344684
psychology,doctor,6.42,0.08942625196132423
psychology,Freud,8.21,0.1454516258762718
psychology,mind,7.69,0.129428828513074
psychology,health,7.23,0.14699392753103363
psychology,science,6.71,0.5591339420347533
psychology,discipline,5.58,0.21724687529817527
psychology,cognition,7.48,0.1971295373421029
planet,star,8.45,0.43627530240118617
planet,constellation,8.06,0.4014730867121597
planet,moon,8.08,0.47674055028712276
planet,sun,8.02,0.4797119134425346
planet,galaxy,8.11,0.4102262103491152
planet,space,7.92,0.1502460438980227
planet,astronomer,7.94,-0.0011808417238473557
precedent,example,5.85,0.29056594731564056
precedent,information,3.85,0.07846077479679031
precedent,cognition,2.81,0.0010073269749631241
precedent,law,6.65,0.04806115381938455
precedent,collection,2.5,0.10073272217512273
precedent,group,1.77,0.0816407612044452
precedent,antecedent,6.04,-1.0
cup,coffee,6.58,0.1399456443591405
cup,tableware,6.85,-1.0
cup,article,2.4,0.029681888269985003
cup,artifact,2.92,-1.0
cup,object,3.69,0.08210945070491538
cup,entity,2.15,0.18981561661129331
cup,drink,7.25,0.08406291841602598
cup,food,5.0,0.042394548184848835
cup,substance,1.92,0.1669660680504325
cup,liquid,5.9,0.05507766080917795
jaguar,cat,7.42,-1.0
jaguar,car,7.27,-1.0
energy,secretary,1.81,0.07277187333219454
secretary,senate,5.06,0.08695904768160621
energy,laboratory,5.09,0.010934760203637003
computer,laboratory,6.78,0.11660757599514923
weapon,secret,6.06,0.3261830528978419
FBI,fingerprint,6.94,-0.0035998272736330493
FBI,investigation,8.31,0.49294466040402185
investigation,effort,4.59,0.5382792612163365
Mars,water,2.94,0.012404685819791615
Mars,scientist,5.63,0.10303403289878374
news,report,8.16,0.35865290190780597
canyon,landscape,7.53,0.26900596506977675
image,surface,4.56,0.21750803693018209
discovery,space,6.34,0.0868324417859081
water,seepage,6.56,-1.0
sign,recess,2.38,0.2807251446866225
Wednesday,news,2.22,0.05871016483772111
mile,kilometer,8.66,0.6453533378943987
computer,news,4.47,0.15980643903837569
territory,surface,5.34,0.18001037439091666
atmosphere,landscape,3.69,0.44519684236546186
president,medal,3.0,0.02687121056699437
war,troops,8.13,0.3981505025564901
record,number,6.31,0.11925266920460549
skin,eye,6.22,0.12444750349211982
Japanese,American,6.5,0.1250105707392591
theater,history,3.91,0.11274895526710378
volunteer,motto,2.56,0.1540500314373688
prejudice,recognition,3.0,0.016153303451531934
decoration,valor,5.63,-1.0
century,year,7.59,0.13416935184279477
century,nation,3.16,0.09429055144363133
delay,racism,1.19,0.04313392289088924
delay,news,3.31,0.007208010270916363
minister,party,6.63,0.12199263635393537
peace,plan,4.75,0.3141722203337966
minority,peace,3.69,0.05402437297963429
attempt,peace,4.25,0.2285578824121725
government,crisis,6.56,0.19828534697443073
deployment,departure,4.25,0.18975419933594914
deployment,withdrawal,5.88,0.3159346483289689
energy,crisis,5.94,0.014608457900772686
announcement,news,7.56,0.10586512305102162
announcement,effort,2.75,0.41926252973451583
stroke,hospital,7.03,0.3065796107022466
disability,death,5.47,0.12582529630532752
victim,emergency,6.47,0.1327988216612922
treatment,recovery,7.91,0.06566010594610944
journal,association,4.97,0.15848259562789638
doctor,personnel,5.0,0.22310943272236852
doctor,liability,5.19,0.45986443198692506
liability,insurance,7.03,0.7145904052627241
school,center,3.44,0.2314911036534525
reason,hypertension,2.31,-0.0027479096005473846
reason,criterion,5.91,0.15829481386602468
hundred,percent,7.38,0.2672779310251862
Harvard,Yale,8.13,0.8329188792927904
hospital,infrastructure,4.63,0.10556655989834353
death,row,5.25,0.323695280016571
death,inmate,5.03,-1.0
lawyer,evidence,6.69,0.022657281900032647
life,death,7.88,0.3571554828791339
life,term,4.5,0.1415185037455516
word,similarity,4.75,-0.016585870571711833
board,recommendation,4.47,0.1888503991141373
governor,interview,3.25,0.033822175507314825
OPEC,country,5.63,-1.0
peace,atmosphere,3.69,0.08028889763753826
peace,insurance,2.94,0.1799475482527694
territory,kilometer,5.28,0.030625253534901052
travel,activity,5.0,0.014921352515285627
competition,price,6.44,0.09608143769582325
consumer,confidence,4.13,0.16670755732127246
consumer,energy,4.75,0.024446656648030474
problem,airport,2.38,0.22999396407254907
car,flight,4.94,0.24019991209062716
credit,card,8.06,0.5794405378421448
credit,information,5.31,0.10463366846165442
hotel,reservation,8.03,0.303176758413146
grocery,money,5.94,0.05155208817053444
registration,arrangement,6.0,0.18534728022914781
arrangement,accommodation,5.41,0.26032129291546996
month,hotel,1.81,0.04712417638459875
type,kind,8.97,0.612737528053763
arrival,hotel,6.0,0.3219652757713155
bed,closet,6.72,0.1253963511700754
closet,clothes,8.0,0.0025891774043453573
situation,conclusion,4.81,0.31429013979106873
situation,isolation,3.88,0.1182758053372942
impartiality,interest,5.16,-1.0
direction,combination,2.25,0.28986798250668583
street,place,6.44,0.10807340050672203
street,avenue,8.88,0.11580673400451753
street,block,6.88,0.38628077526274934
street,children,4.94,0.025754617954270562
listing,proximity,2.56,-0.031231064279866345
listing,category,6.38,0.08899113839051304
cell,phone,7.81,0.3047495470229824
production,hike,1.75,-0.002241913395509096
benchmark,index,4.25,0.1412725847538426
media,trading,3.88,0.14942227492817625
media,gain,2.88,0.06565827237401958
dividend,payment,7.63,0.08572731158158019
dividend,calculation,6.48,0.31300364886960663
calculation,computation,8.44,0.45682049593581514
currency,market,7.5,0.17727683942000555
OPEC,oil,8.59,-1.0
oil,stock,6.34,0.26118375295454904
announcement,production,3.38,0.06117194687429362
announcement,warning,6.0,0.3777988735417799
profit,warning,3.88,0.37508610465541825
profit,loss,7.63,0.20263957003517805
dollar,yen,7.78,-1.0
dollar,buck,9.22,-1.0
dollar,profit,7.38,0.10991430132359699
dollar,loss,6.09,0.018173498053522256
computer,software,8.5,0.677718150669364
network,hardware,8.31,0.24474195073435379
phone,equipment,7.13,0.12326885602635844
equipment,maker,5.91,0.07265208194699509
luxury,car,6.47,0.17265729020864468
five,month,3.38,0.22146255495038336
report,gain,3.63,0.18558681343577507
investor,earning,7.13,0.4202563616864927
liquid,water,7.89,0.21672156273356818
baseball,season,5.97,0.15573316841755802
game,victory,7.03,0.3609529181038047
game,team,7.69,0.36615724613517037
marathon,sprint,7.47,0.468846567111473
game,series,6.19,0.2908936846157489
game,defeat,6.97,0.2192631004169231
seven,series,3.56,0.10357050199114727
seafood,sea,7.47,0.02187546357541431
seafood,food,8.34,0.0923926454015619
seafood,lobster,8.7,-1.0
lobster,food,7.81,-1.0
lobster,wine,5.7,-1.0
food,preparation,6.22,0.3334125258694969
video,archive,6.34,-0.0030928732000075378
start,year,4.06,0.2647197126178242
start,match,4.47,0.3852340723116217
game,round,5.97,0.34418003847071876
boxing,round,7.61,0.010521644821999146
championship,tournament,8.36,0.7914253180507913
fighting,defeating,7.41,0.2509284598994695
line,insurance,2.69,-0.0230193816694471
day,summer,3.94,0.31380466137096447
summer,drought,7.16,0.14695699918655084
summer,nature,5.63,0.08678128899748752
day,dawn,7.53,0.2775785856762001
nature,environment,8.31,0.49619411977735256
environment,ecology,8.81,0.09751911648506943
nature,man,6.25,0.12552797986963393
man,woman,8.3,0.8654663940688193
man,governor,5.25,0.1773927049146801
murder,manslaughter,8.53,0.27186316378814485
soap,opera,7.94,0.24189461125572315
opera,performance,6.88,0.2656229165354712
life,lesson,5.94,0.007632360909236964
focus,life,4.06,0.15035834514961485
production,crew,6.25,0.12070619624822693
television,film,7.72,0.3853096241891174
lover,quarrel,6.19,0.19715631981375809
viewer,serial,2.97,0.31048358096195894
possibility,girl,1.94,0.26852823639474344
population,development,3.75,0.1957741155541747
morality,importance,3.31,0.28912406813123676
morality,marriage,3.69,0.04469479863302596
Mexico,Brazil,7.44,0.22812062026295554
gender,equality,6.41,0.5546748617167702
change,attitude,5.44,0.10635555766198351
family,planning,6.25,0.2444209890294224
opera,industry,2.63,0.11707135520236564
sugar,approach,0.88,0.041976806984442755
practice,institution,3.19,0.22296241444607026
ministry,culture,4.69,0.03617335013199454
problem,challenge,6.75,0.4710619241926341
size,prominence,5.31,0.03570957038748884
country,citizen,7.31,0.11310945133867467
planet,people,5.75,0.046408091794087
development,issue,3.97,0.15519724776909008
experience,music,3.47,0.08760973438335551
music,project,3.63,0.12273740200529976
glass,metal,5.56,0.20753045138712603
aluminum,metal,7.83,0.2433676528901449
chance,credibility,3.88,0.1372336156763347
exhibit,memorabilia,5.31,0.0008285825354820599
concert,virtuoso,6.81,-1.0
rock,jazz,7.59,0.9274521351411408
museum,theater,7.19,0.3400701938910555
observation,architecture,4.38,0.2053515660074104
space,world,6.53,0.1867536436796798
preservation,world,6.19,0.09216822954953865
admission,ticket,7.69,0.3696233798184616
shower,thunderstorm,6.31,0.8844419081450908
shower,flood,6.03,0.21294875264285115
weather,forecast,8.34,-0.007700684135327308
disaster,area,6.25,0.12768817550780337
governor,office,6.34,0.2834964067452269
architecture,century,3.78,0.09941409456560688
